vendor_name,legal_name,headquarters_address,address,rcs_number,vat_number,social_capital,eu_contact_name,eu_contact_address,eu_contact_country,eu_contact_email
MeowBaby,ZORIN INT,"Witkowice 1, 78-100 Kołobrzeg, Poland","Witkowice 1, 78-100 Kołobrzeg, Poland",Pologne 0000681256,PL9571095240,"1162,79€",ZORIN INT Sp. z o.o.,"Witkowice 1, Kołobrzeg 78-100, Poland",,marketplace.cs@zorinint.com
Jardindeco,JARDIN DECO SAS,"ZI de la Pointe à Miteau, 22 rue du Bois D'Amour, 86000 POITIERS","22 rue du Bois d’Amour, 86000 POITIERS",POITIERS 752 655 860,FR40752655860,802 840 €,Jardindeco,"22, rue du bois d'amour, 86000 POITIERS",,achats@jardindeco.com
Decoration Brands,DEPOT BINGO SAS,2 rue de la Ferme 60480 Oursel-Maison,2 rue de la Ferme 60480 Oursel-Maison,BEAUVAIS 491 127 254,FR80491127254,300 000€,JJA,"ZAC des Tulipes Nord, 4 Rue  de Montservon, 95500 Gonesse",,contact@jja-sa.com
The Cool Republic,THE COOL REPUBLIC SAS,72 rue des Martyrs 75009 Paris,72 rue des Martyrs 75009 Paris,PARIS 789 833 647,FR85789833647,8 1813.00 EUR,Florian Masse,4 rue drouot 75009 Paris,,Florian@thecoolrepublic.com
Aosom,MH France SARL,2 RUE MAURICE HARTMANN 92130 ISSY-LES-MOULINEAUX,2 RUE MAURICE HARTMANN 92130 ISSY-LES-MOULINEAUX,NANTERRE 534 192 075,FR49534192075,100 000€,Emmanuel Benichou,2 rue Maurice Hartmann 92130 Issy les Moulineaux,,contactlaredoute@mhfrance.fr
LexibookShop,LEXIBOOK LINGUISTIC ELECTRONIC SYSTEM SA,"6 Avenue des Andes - Bat 11 - ZA Courtaboeuf, 91940 LES ULIS","6 Avenue des Andes - Bat 11 - ZA Courtaboeuf, 91940 LES ULIS",Evry 323 036 921,FR71323036921,"3 881 659,50 €",LEXIBOOK,6 avenue des andes BAT11 91940 Les ulis,France,savcomfr@lexibook.com
Sevira Kids,NEXT-1 GROUP SARL,7 Rue du Four Saint-Jacques 60200 COMPIÈGNE,7 Rue du Four Saint-Jacques 60200 COMPIÈGNE,COMPIEGNE 821 208 329,FR84821208329,100 000 €,Virapin Petra,"7 rue du Four Saint Jacques, 60200 Compiègne France",,contact@sevirakids.com
Mookie,MOOKIE France,"375 AVENUE DU MISTRAL, ESPACE MISTRAL B, 13600 LA CIOTAT, France","375 AVENUE DU MISTRAL, ESPACE MISTRAL B, 13600 LA CIOTAT, France",MARSEILLE 900 331 901,FR63900331901,"5,000.00 €",Andrew Bevan,,,andrew.bevan@mookie.co.uk
sweeek,WALIBUY SAS,"270 Avenue de l'Espace, 59118 WAMBRECHIES","270 Avenue de l'Espace, 59118 WAMBRECHIES",LILLE METROPOLE 518 047 014,FR70 518 047 014,597 410 €,WALIBUY,270 avenue de l'Espace,,client@walibuy.com
Teamson,TEAMSON EUROPE B.V.,"Zekeringstraat 17A, 1014BM, AMSTERDAM, The Netherlands","Zekeringstraat 17A, 1014BM, AMSTERDAM, The Netherlands",NL 73730394,NL859643839B01,100 €,Gary Woods,"Zekeringstraat 17 A, 1014 BM Amsterdam, Netherlands",,gary@teamson.co.uk
Pret a Jardiner,PRÊT A JARDINER,411 rue d'Armentières 59280 BOIS GRENIER,411 rue d'Armentières 59280 BOIS GRENIER,Lille 533 419 784 000 20,FR21533419784,20 000 €,Pascal DE BAERE,411 rue d'armentières 59280 Bois Grenier,,contact@pretajardiner.com
Louis Pion,LOUIS PION SAS,101-109 rue Jean Jaurès - 92300 LEVALLOIS-PERRET,101-109 rue Jean Jaurès - 92300 LEVALLOIS-PERRET,NANTERRE 389 756 487,FR45389756487,7 692 300 €,Marianne ROMESTAIN,101-109 RUE JEAN JAURES 92300 LEVALLOIS-PERRET,,mromestain@galerieslafayette.com
Micro Mobility,ANTRIM SAS,18 rue rhin et danube 69009 LYON,18 rue rhin et danube 69009 LYON,LYON 794 331 462,FR54794331462,100 000 €,Gregoire Henin,18 rue Rhin et Danube - 69009 Lyon - France - FRA,,contact@micro-mobility.fr
Petit Jour,PETIT JOUR SA,7 avenue Trudaine 75009 Paris,71 rue du Grand Meaulnes 77310 Saint Fargeau Ponthierry,Paris B 311 068 852,FR26311068852,350 000 €,Marion Paillocher-Lettmann,7 avenue Trudaine 75009 Paris,France,welcome@petitjour.com
Pylones,PYLONES SAS,"41 avenue de l’agent Sarre, 92 700 COLOMBES","41 avenue de l’agent Sarre, 92 700 COLOMBES",NANTERRE 332 251 875,FR30 332 251 875,350 000 €,Jacques Guillemet,41 AVENUE DE L AGENT SARRE,,jacques@pylones.com
ReCollection,SHEENOOK SAS,"3 La Cuisinerie, 44850 SAINT MARS DU DESERT","3 La Cuisinerie, 44850 SAINT MARS DU DESERT",Nantes 818 437 816,FR87818437816,1 000 €,Sheenook,3 La Cuisinerie - 44850 Saint Mars du désert,,e.delahaye@recollection.fr
Soulet,Cerland France,"236 avenue clément ader, 59118 Wambrechies, France","236 avenue clément ader, 59118 Wambrechies, France",LILLE 451 278 634,FR00752363424,2.130.000€,Cerland France,"236 avenue clément ader, 59118 Wambrechies",France,ludovic.delsart@cerland.com
Home Maison,HOME MAISON,89 quai Charles De Gaulle - Cité Internationale 69006 LYON,89 quai Charles De Gaulle - Cité Internationale 69006 LYON,Lyon 493113682,FR72493113682,1 247 400€,Arthur Dechelette,89 QUAI CHARLES DE GAULLE,,arthur@homemaison.com
Sport4Heros,MKP SAS,22 rue de l’Industrie 64700 Hendaye,22 rue de l’Industrie 64700 Hendaye,Bayonne 849 203 302,FR75849203302,10 000 €,JT2D,13 rue de l'industrie zone industrielle des Joncaux 64700 Hendaye,,info@jt2d.com
The Zoofamily,KOLLEKTIV7680,"Lobeliastraat 4, 8670 Koksijde","Lobeliastraat 4, 8670 Koksijde",Belgium 1007796940,BE1007796940,1000€,Kollektiv7680 BV,"Lobeliastraat 4, 8670 Koksijde, Belgium",,info@thezoofamily.com
Bebeconfort,DOREL FRANCE SAS,"9 Boulevard du Poitou - ZI BP905, 49309 CHOLET","9 Boulevard du Poitou - ZI BP905, 49309 CHOLET",ANGERS B 300 299 765,FR70300299765,1 423 953.50 €,DOREL FRANCE,"9 boulevard du Poitou, 49300, CHOLET, France (FR)",,
MAISON LEFEBVRE,LEFEBVRE TEXTILE SAS,"20, rue Luyot Zone Industrielle B59 476 SECLIN CEDEX","20, rue Luyot Zone Industrielle B59 476 SECLIN CEDEX",LILLE METROPOLE 469 502 561,FR 86 469 502 561,2 000 000 €,LEFEBVRE TEXTILE,20 rue du Luyot 59113 SECLIN,,serviceclients.marketplace@today.fr
Nos Envies Déco,KSERVICES SAS,52 route nationale 39190 Beaufort,52 route nationale 39190 Beaufort,Lons le Saunier 423 154 673,FR05423154673,85000 €,K Services,11 Vieille Route 71480 Cuiseaux,,contact@kservices.fr
Cadomus,MAGASINS GENERAUX,"6, Rue des Halles 30000 NIMES","530 Route de Saint Hilaire, 30360 VEZENOBRES",570 202 762,FR09570202762,10 000 €,BASTIDE Dominique,1570 chemin du haut bresis 30100 Alès,,dbastide@bastide.fr
Babymoov Officiel,HAPPEEZ SAS,"Parc Industriel des Gravanches, 16 rue Jacqueline Auriol; 63100 CLERMONT-FERRAND","Parc Industriel des Gravanches, 16 rue Jacqueline Auriol; 63100 CLERMONT-FERRAND",Clermont-Ferrand 821 943 040,FR86821943040,437 050€,BABYMOOV GROUP,"16 rue Jacqueline Auriol 63100 Clermont-Ferrand, FRANCE",,www.babymoov.com
Banwood,BANWOOD SL,"Avda Gran Capitan 19 2 D, 14008 CÓRDOBA","Avda Gran Capitan 19 2 D, 14008 CÓRDOBA",Cordoba B56079262,ESB56079262,3000€,Antonio Muñoz Giráldez,"Avd. Gran Capitán 19, 2 Derecha, 14008 Córdoba, Spain",,antoniomunoz@banwood.com
BigStuffed,BIGSTUFFED,10 rue de Crussol 75011 Paris,10 rue de Crussol 75011 Paris,Paris 809 827 272,FR40809827272,1000.00 €,Dana Muskat,10 rue de Crussol 75011 Paris,France,wholesales@bigstuffed.com
Cémonjardin,FREMAUX DELORME SAS,10 rue de la Pépinière 75008 PARIS,35 B avenue de la Marne 59290 WASQUEHAL,PARIS 456 501 600,FR30456501600,3 397 302 €,Léo CROSTE BAYLIES,Service Qualité & RSE - 35 B Avenue de la Marne – CS 90120 - 59442 Wasquehal cedex - France,,contact@fremaux.fr
Corolle,COROLLE SAS,ZI SUD RUE LAVOISIER 37130 LANGEAIS FRANCE,ZI SUD RUE LAVOISIER 37130 LANGEAIS FRANCE,TOURS 838 015 584,FR85838015584,558 400.00 €,Corolle SAS,1 rue Lavoisier 37130 Langeais France,France,gpsr@corolle.com
Belles nuits,TEXTILES LASSON SAS,Route de Ligny 59157 FONTAINE AU PIRE,Route de Ligny 59157 FONTAINE AU PIRE,DOUAI 687 120 055,FR82687120055,48 000 €,DODO SAS,25 rue du Maréchal Foch 57500 SAINT-AVOLD,,contact@dodo.fr
1001 Kdo,1001KDO SASU,Lieu Dit Kerbrat Bras 29440 SAINT DERRIEN,Lieu Dit Kerbrat Bras 29440 SAINT DERRIEN,BREST 812 225 282,FR65812225282,3 000 €,Benedicte Arnoult,lieu dit kerbrat bras 29440 st derrien,,1001kdo@gmail.com
Raviday.com,RAVIDAY.COM SAS,"ZI de la Sangle, Rue de l'océan, 44390 NORT-SUR-ERDRE","ZI de la Sangle, Rue de l'océan, 44390 NORT-SUR-ERDRE",NANTES 521 708 305,FR51521708305,80 000 €,Raviday,"2 Rue Georges Clemenceau, 44600 Saint-Nazaire, France",France,www.raviday.com
Kadolis,Kadolis,"151 Boulevard Elisabeth Boselli, 49100 ANGERS","151 Boulevard Elisabeth Boselli, 49100 ANGERS",ANGERS 494103484,FR17494103484,134 105€,SWISTUNOW Vladimir,151 BOULEVARD ELISABETH BOSELLI,,vladimir@kadolis.com
Kangui,KANGUI SSAS,16 impasse du Bourny 53000 LAVAL,16 impasse du Bourny 53000 LAVAL,LAVAL 421 608 290,FR75421608290,135 000 €,KANGUI,16 rue Ferdinand Buisson 53810 CHANGE,,info@kangui.com
Kare Design,SARL DECO IN DESIGN,40 rue François Groult - 56850 Caudan,40 rue François Groult - 56850 Caudan,LORIENT 508 487 535,FR71508487535,50 000€,KARE Design GmbH,Zeppelinstr. 16 Garching 85748 Deutschland,,info@kare.de
LEGO Officiel,RAKUTEN FRANCE,"92 rue Réaumur, 75002 Paris","92 rue Réaumur, 75002 Paris",PARIS 432 647 584,FR23432647584,"355 964,80 €",LEGO System A/S,"Aaastvej 1, 7190 Billund, Denmark",Danemark,product.compliance@LEGO.com
Livoo,DELTA SAS,1 RUE FOCH 67450 MUNDOLSHEIM,1 RUE FOCH 67450 MUNDOLSHEIM,STRASBOURG B 324 432 186,FR25 324 432 186,200 000 €,DELTA,1 RUE FOCH 67450 MUNDOLSHEIM,,marketplace@deltabrands.fr
Pioupiou et Merveilles,SHOKID EURL,4 boulevard Albert 1er 94130 Nogent-Sur-Marne France,4 boulevard Albert 1er 94130 Nogent-Sur-Marne France,CRETEIL B 491 879 722,FR03491879722,"8 000,00€",DUCHEMIN Jérôme,4 boulevard Albert Ier 94130 Nogent sur Marne,,jerome.duchemin@shokid.com
Bambinou,DISTRIB ETIK SARL,57 rue des Filatiers 31000 TOULOUSE,57 rue des Filatiers 31000 TOULOUSE,TOULOUSE 522 668 706,FR63522668706,70 000€,THIERRY BORONAT,2 Rue Sainte Quitterie 31280 MONS,,thierry.boronat@bambinou.com
Nobodinoz,NOBODINOZ SLU,"Calle vic 10 local bajos, 08006 Barcelona ESPANA","Calle vic 10 local bajos, 08006 Barcelona ESPANA",BARCELONE ESB64293335,ESB64293335,3 000 €,Roman BRESSAN,"Gran de Gracia 25, 08012, BARCELONA, Catalunya, España",,roman.bressan@nobodinoz.com
OYOY Living Design,OYOY LIVING DESIGN A/S,"Hammershusvej 16A, 7400 HERNING (DENMARK)","Hammershusvej 16A, 7400 HERNING (DENMARK)",Herning 33777256,DK33777256,228 188 €,Lotte Øster Fynboe,"OYOY LIVING DESIGN A/S, Bitsovvej 1,7400 Herning,Denmark",,digital@oyoy.dk
Play&Go,Camicol,"Lobeliastraat 4, 8670 Koksijde, Belgique","Lobeliastraat 4, 8670 Koksijde, Belgique",BELGIUM 0559 805 014,BE0559805014,1000 €,Camille Haspeslagh,Koninginnestraat 2 9771 Nokere,Belgique,camille@playandgo.com
VPC Boost,GPDIS France,"13, avenue de Fontréal - Eurocentre - 31620 VILLENEUVE-LES-BOULOC","46, rue Nicolas Appert – 87000 LIMOGES",327 127 247,FR 64 327 127 247,18 729 824 €,GPdis France - VPC Boost,"46, rue Nicolas Appert, 87000 Limoges, France",,crm@vpcboost.com
Electropro,HIGH TECH & MAISON SAS,"140 B, rue de Rennes 75006 PARIS","140 B, rue de Rennes 75006 PARIS",Paris 853 843 332,FR83853843332,10 000 €,High Tech & Maison,"140 bis, rue de Rennes 75006 Paris",,contact.laredoute@hightechetmaison.fr
House of fun,SAMPLE & SUPPLY SARL,28 avenue karl marx 69120 Vaulx en velin France,28 avenue karl marx 69120 Vaulx en velin France,Lyon 529 187 569,FR94529187569,30 000 €,BAUDURET,71 rue de Cuire,,info@sample-supply.com
Dutch Home Label,DUTCH HOME LABEL B.V.,"Keyserswey 30, 2201 CW, Noordwijk, the Netherlands","Keyserswey 30 ('s-Gravendijck), 2201 CW, Noordwijk, the Netherlands",AMSTERDAM 73312207,NL859454459B01,1 000 €,Lightmakers B.V.,'s-Gravendijckseweg 8 2201CZ Noordwijk,,info@light-living.com
Lexon,LEXON SAS,125 Avenue des Champs Elysées 75008 PARIS,125 Avenue des Champs Elysées 75008 PARIS,342 979 044 RCS PARIS,FR41342979044,1 000 000 €,Lexon SAS,125 Avenue des Champs Elysées 75008 Paris,,support@lexon-design.com
Globale Multimedia,EXASOFT SARL,1 La Chaussée de Hary 02140 HARY,1 La Chaussée de Hary 02140 HARY,SAINT QUENTIN 494 523 855,FR33494523855,7 125 €,EXASOFT,1 LA CHAUSSE DE HARY 02140 HARY,,fabrice.blatier@exasoft.fr
Evetane,EVETANE SARL,Zone industrielle Saint-Mitre Lot Primindus 1485 Chemin de la vallée 13400  AUBAGNE,Zone industrielle Saint-Mitre Lot Primindus 1485 Chemin de la vallée 13400  AUBAGNE,519845739  R.C.S Marseille,FR38519845739,150 000 €,Laurent Amsallem,16 Boulevard Gaston Crémieux  13008 Marseille,,laurent@evetane.com
Samsonite,ABOUT BAGS NV,"Westerring 17, 9700 Oudenaarde Belgium","Westerring 17, 9700 Oudenaarde Belgium",BELGIQUE 838 263 994,BE0681881789,61 500 €,Samsonite Europe NV,Westerring 17 9700 Oudenaarde Belgium,,Legal.notifications.europe@samsonite.com
Bleu Cerise,MOUCHET-BURY,"226 rue Louis Lépine, Pôle d'activité des Costières 30600 VAUVERT","226 rue Louis Lépine, Pôle d'activité des Costières 30600 VAUVERT",NIMES 300 990 686,FR40300990686,192 200 €,SAS MOUCHET BURY,"226 RUE LOUIS LEPINE, 30600 VAUVERT",,contact@bleucerise.com
Hexagona,HEXAGONA SAS,"122 Avenue De La Plaine de France France, 95500 Gonesse","122 Avenue De La Plaine de France France, 95500 Gonesse",Pontoise 405 270 224,FR74405270224,100 000 €,David Hu,"122 AVENUE DE LA PLAINE DE FRANCE, 95500 GONESSE",,sav@hexagona.com
Le Tanneur,LE TANNEUR & CIE SA,7 rue du Tronchet 75008 PARIS,7 rue du Tronchet 75008 PARIS,PARIS 414 433 797,FR 23 414 433 797,28 978 015 €,Le Tanneur,"7 rue Tronchet, 75008, Paris",,src@letanneuretcie.com
Oh my bag,Panda&Cie SARL,21 place de la république 75003 Paris,4 rue chantoiseaux 95450 Seraincourt,PARIS 802 247 213,FR 58 802 247 213,5000 €,Ludovic Fromaget,21 Place De La République 75003 Paris,France,ludovic@ohmybag.fr
Viquel,VIQUEL SAS,"14-30 rue de Mantes, 92700 COLOMBES","14-30 rue de Mantes, 92700 COLOMBES",Nanterre 325 206 662,FR1232520662,2 463 200€,Viquel,"14-30 rue de mantes, Le Charlebourg",,contact@viquel.fr
Lili's,JNG DIFFUSION,19 Bis Chemin des Meuniers 77700 CHESSY,19 Bis Chemin des Meuniers 77700 CHESSY,MEAUX 794 463 687,FR96794463687,50 000 €,Orane BERNARD,19 Bis Chemin des Meuniers 77700 CHESSY,,orane.b@jngdiffusion.fr
Mathilde M.,MATHILDE CREATIONS SAS,117 rue Pablo Picasso 71000 MÂCON,117 rue Pablo Picasso 71000 MÂCON,MACON 829 236 454,FR38829236454,1 055 550 €,Cécile Vaucelle,117 rue Pablo Picasso 71000 Mâcon,,cecile.vaucelle@mathilde-creations.com
Sia Deco,CAFOM DISTRIBUTION SAS,9 rue Jacquard 93310 LE PRE SAINT-GERVAIS,9 rue Jacquard 93310 LE PRE SAINT-GERVAIS,BOBIGNY 337 810 501,FR56337810501,577 600€,CAFOM DISTRIBUTION,"9 Rue Jacquard, 93310 Le Pré-Saint-Gervais",,contact.sia@cafom.com
Wadiga,WADIGA SARL,34 RUE ALAIN PERONNAU - 33830 BELIN-BELIET,34 RUE ALAIN PERONNAU - 33830 BELIN-BELIET,BORDEAUX 788 880 136,FR82788880136,"10 000,00 €",WADIGA,36 rue Alain Peronnau 33830 Belin Béliet,,contact@wadiga.com
Maison En Vogue,MAISON EN VOGUE SAS,"81, avenue Kleber 75116 PARIS","81, avenue Kleber 75116 PARIS",Paris 522 742 022,FR15522742022,70 000€,Sorba Vincent,"4 rue Anatole France, 94140, Alfortville",,vincent@p-i-b.com
Gone's,GONE'S,"109 rue Sébastien Gryphe, 69007 Lyon, France","109 rue Sébastien Gryphe, 69007 Lyon, France",LYON B 803 405 372,FR92803405372,7000 €,DUMONTET,5 Avenue Auguste Blanqui 69100 VILLEURBANNE,,contact@gones.fr
Toilinux,TOILINUX.COM SAS,88 rue de l'Industrie - 01480 JASSANS RIOTTIER,88 rue de l'Industrie - 01480 JASSANS RIOTTIER,BOURG EN BRESSE 505 318 287,FR73505318287,50 000 €,Toilinux.com,88 rue de l'industrie 01480 Jassans-Riottier,,achats@toilinux.com
Hübsch,HÜBSCH,"Hübsch Retail ApS, HI-Park 381 7400 Herning Denmark","Hübsch Retail ApS, HI-Park 381 7400 Herning Denmark",DK41732350,DK41732350,"13 423,00 €",Daniel HENRIKSEN,Hübsch Retail ApS HI-Park 381 7400 Herning Denmark,Danemark,dh@hubsch-interior.com
Kdesign,KASIA SARL,"47 rue Marcel Dassault, 92100 Boulogne Billancourt","47 rue Marcel Dassault, 92100 Boulogne Billancourt",Nanterre 477 941 512,FR36477941512,31 000 €,Charles Ballif,47 av Marcel Dassault 92100 Boulogne Billancourt,,cballif@kdesign.fr
Maison Aubertin,MAISON AUBERTIN SAS,"40 rue Antoine Condorcet, 38090 Vaulx Milieu, France","40 rue Antoine Condorcet, 38090 Vaulx Milieu, France",831 037 312 VIENNE,FR03831037312,5000 €,Maison Aubertin,40 rue Antoine Condorcet,,contact@maison-aubertin.com
Pier Import,PIER IMPORT,66 rue Escudier 92100 BOULOGNE-BILLANCOURT,22 rue Chantecoq 89100 SENS,Nanterre 500 466 859,FR57500466859,1 874 247.35€,Pier Import SAS,66 rue Escudier - 92100 Boulogne Billancourt - France,,lfe@pierimport.fr
Potiron Paris,POTIRON,"38 Rue des Sablons, 75116 PARIS, France","38 Rue des Sablons, 75116 PARIS, France",Paris 904776812,FR12904776812,1000€,Potiron Paris,38 rue des sablons 75116 Paris,France,bonjour@potiron.com
Sensei Maison,SAS SIRETEX,"6 Allée Jean Monnet - 	Z.A.E Des portes de la Forêt, 77090 COLLEGIEN","6 Allée Jean Monnet - 	Z.A.E Des portes de la Forêt, 77090 COLLEGIEN",MEAUX 652 056 466,FR92652056466,750 000€,Gérard Szenik,"6 Allée Jean Monnet, 77090 Collégien",,gszenik@siretex-sensei.com
Kitchen Living Dining,F&H A/S,GI. Skivevej 70 8800 VIBORG DENMARK,GI. Skivevej 70 8800 VIBORG DENMARK,VIBORG 10 325 838,DK10325838,2 688 172 €,F&H Group A/S,"Gammel Skivevej 70, 8800 Viborg Danemark",,info@fh-as.dk
Boite à Design,BCMB SARL,2 rue Marcel Doret 31130 BALMA,2 rue Marcel Doret 31130 BALMA,TOULOUSE 751 129 214,FR54751129214,10 000 €,SARL BCMB,2 Rue Marcel Doret 31130 Balma,,rsgp@boite-a-design.com
Decoration d'autrefois,FRANCE DECO,"2, rue de la Bécelle, 77970 BANNOST-VILLEGAGNON","2, rue de la Bécelle, 77970 BANNOST-VILLEGAGNON",MELUN 751 632 639,FR 39 751 632 639,30 000 €,MOREAU Stéphane,"2, rue de la Bécelle 77970 BANNOST-VILLEGAGNON",,contact@decoration-dautrefois.com
The Green Home Company,MERRON B.V,"Bargelaan 200, 2333CW Leiden, The Netherlands","Schinkeldijk 56, 2811 PB Reeuwijk, The Netherlands",Leiden 861369373,NL861369373B01,1.000 €,Edelman B.V.,"Schinkeldijk 56, 2811PB Reeuwijk, The Netherlands",Pays-Bas,onlinecs@edelman.nl
BAÏJA,SAS BAINS ET NATURE,"37 BOULEVARD SUCHET, 75016 PARIS","4 RUE DES DÉFENSEURS DE VERDUN, 94130 NOGENT-SUR-MARNE",PARIS 753 031 764,FR 30 753 031 764,30 000 €,Elisabeth Arnaud,112 avenue du général de gaulle 94170 Le Perreux-sur-Marne,France,Elisabeth.arnaud@baija.com
Collines de Provence,COLLINES DE PROVENCE,773 Chemin de Pitaugier 04300 Mane,773 Chemin de Pitaugier 04300 Mane,Manosque 450007885,FR74450007885,600 000 €,CHEVALIER Paul-Benoît,773 CHEMIN DE PITAUGIER – 04300 MANE,France,paul-benoit.chevalier@collinesdeprovence.fr
Habitat,VENTE-UNIQUE.COM,"9 rue jacquard , 93310 LE-PRE-SAINT-GERVAIS","9 rue jacquard , 93310 LE-PRE-SAINT-GERVAIS",BOBIGNY B 484 922 778,FR79484922778,97800€,VENTE-UNIQUE.COM,"9 rue jacquard , 93310 LE-PRE-SAINT-GERVAIS",France,gpsr@habitat.fr
La Belle Mèche,LA PIERLO COMPAGNIE,"4 rue Renée Sabran, 69009 LYON","4 rue Renée Sabran, 69009 LYON",Lyon 797526969,FR65797526969,6818€,LA PIERLO COMPAGNIE SARL,"4 RUE RENÉE SABRAN, 69009 LYON",,contact@labellemeche.com
Villeroy & Boch,VILLEROY ET BOCH ARTS DE LA TABLE SAS,"21 rue Royale, 750008 Paris","21 rue Royale, 750008 Paris",PARIS 334 643 350,FR 44 334 643 350,2 050 000€,Villeroy & Boch,"Saarufer Straße 1-3, 66693 Mettlach, Germany",,QM_Compliance_DL@villeroy-boch.com.
Noo.ma,NOOMA SP. Z O.O.,Woźna 9c/2 61-777 Poznań,Woźna 9c/2 61-777 Poznań,POZNAŃ 0000706965,PL7831768262,"PLN 5,000 (1200€)",NOOMA SP. Z O.O.,Woźna 9c/2 61-777 Poznań,Pologne,office@noo.ma
Q de Bouteilles,QDB Q DE BOUTEILLES,Allée de la Royale Air Force 62520 LE TOUQUET,Allée de la Royale Air Force 62520 LE TOUQUET,BOULOGNE-SUR-MER 821 433 406,FR01821433406,"30 000,00 €",Gauthier DECARNE,40 CHEMIN DES LOMBARDS 62170 HAUT DE FRANCE,,gauthier@qdebouteilles.fr
Fine Dining & Living,FINE DINING AND LIVING NV,"Herentalseweg 66, 2440 Geel, Belgium","Herentalseweg 66, 2440 Geel, Belgium",0457718254,BE0457718254,1.000.000€,Fine Dining & Living,Herentalseweg 66 2440 Geel – Belgium,Belgique,marketing@finedl.eu
ANGEL CERDA,ANGEL CERDA S.L.,"Vial la Costera, 13, 46690 ALCUDIA DE CRESPINS, ESPANA","Vial la Costera, 13, 46690 ALCUDIA DE CRESPINS, ESPANA",ESB96818547,ESB96818547,"60 101,00 €",ANGEL CERDÁ S.L.,"VIAL LA COSTERA,13 - 46691 - L'ALCUDIA DE CRESPINS - VALENCIA - ESPAÑA",,info@angelcerda.com
